countryisocode,year,xlong,ylat,lny,lns,lnngd,ltrade
"PHL",1952,121.17,14.55,7.923348,-1.813415,-2.678694,21.11726
"PRT",1952,-9.13,38.73,8.948693,-1.821324,-3.059166,19.98801
"PRY",1952,-57.67,-25.22,8.336473,-2.328302,-2.682421,18.44892
"SLV",1952,-89.2,13.7,9.110763,-2.238542,-2.687897,19.03825
"SWE",1952,18.08,59.24,10.10851,-1.573973,-2.864069,21.2145
"THA",1952,100.55,13.75,7.466767,-1.923093,-2.595273,20.44502
"TTO",1952,-61.49,10.64,9.511918,-1.195492,-2.765588,18.75218
"TUR",1952,32.85,39.93,8.567146,-2.592579,-2.74278,20.43101
"UGA",1952,32.58,.32,7.386698,-2.525813,-2.633218,18.25819
"URY",1952,-56.17,-34.92,9.290264,-1.235656,-2.799001,19.21171
"USA",1952,-76.95,38.89,10.47237,-1.835366,-2.813267,23.33763
"VEN",1952,-66.9,10.5,9.90669,-.8483608,-2.461549,21.28773
"ZAF",1952,28.22,-25.73,9.31722,-1.597088,-2.679727,21.5995
"ZAR",1952,15.47,-4.39,7.404604,-1.102533,-2.66802,17.77758
"ARG",1953,-58.41,-34.67,9.397609,-1.601532,-2.741664,20.93872
"AUS",1953,149.04,-35.35,10.3358,-1.190745,-2.710034,21.24247
"AUT",1953,16.32,48.2,9.569226,-1.943493,-3.070497,20.54478
"BEL",1953,4.37,50.84,9.929449,-1.476386,-2.987504,21.79553
"BOL",1953,-68.15,-16.5,8.810936,-2.501764,-2.737258,19.53673
"BRA",1953,-47.9,-15.79,8.607492,-1.465397,-2.585851,21.11754
"CAN",1953,-75.65,45.37,10.41489,-1.6742,-2.646915,22.42552
"CHE",1953,7.45,46.95,10.36326,-1.749907,-2.721204,21.54789
"CHL",1953,-70.65,-33.48,9.223526,-1.022487,-2.801767,19.86949
"COL",1953,-74.08,4.63,9.092083,-1.600542,-2.633447,20.57036
"CRI",1953,-84.08,9.93,9.445464,-1.928939,-2.612981,18.64295
"DNK",1953,12.55,55.72,9.902301,-1.883166,-2.960982,20.61533
"DOM",1953,-69.91,18.5,8.624306,-1.796303,-2.684053,19.7076
"ECU",1953,-78.52,-.23,8.62636,-1.113495,-2.653536,19.36511
"EGY",1953,31.25,30.08,7.863885,-2.531337,-2.711885,21.07331
"ESP",1953,-3.69,40.44,9.291105,-1.721227,-2.844773,20.04922
"ETH",1953,38,9.03,6.608425,-2.600962,-2.734037,18.76612
"FIN",1953,24.98,60.2,9.496284,-1.396153,-2.937788,20.16619
"FRA",1953,2.43,48.88,9.747846,-1.796291,-2.984692,22.11926
"GBR",1953,-.18,51.49,9.940791,-2.13333,-2.934264,22.96128
"GRC",1953,23.65,38.12,9.153284,-1.799021,-2.805592,19.54169
"GTM",1953,-90.52,14.62,8.917269,-1.998037,-2.574123,19.84478
"HND",1953,-87.2,14.1,8.823637,-1.630445,-2.604349,19.77711
"IND",1953,77.22,28.57,7.358167,-2.307139,-2.818644,21.72092
"IRL",1953,-6.26,53.34,9.636105,-1.600973,-3.230041,19.95353
"ISR",1953,34.86,31.92,9.464887,-1.184551,-2.544749,19.13901
"ITA",1953,12.52,41.88,9.460534,-1.405795,-2.991977,21.78876
"JPN",1953,139.81,35.68,8.943,-1.93803,-2.645898,21.28429
"KEN",1953,36.83,-1.17,7.755966,-1.695201,-2.538919,19.46493
"LKA",1953,80.09,7.02,7.394225,-1.38404,-2.522086,20.44999
"MAR",1953,-6.75,33.92,7.897476,-.7791467,-2.632153,20.3692
"MEX",1953,-99.13,19.43,9.539508,-1.595904,-2.640705,21.32017
"MUS",1953,59.57,-20.1,9.026627,-1.193342,-2.527819,18.39728
"NGA",1953,3.3,6.45,8.157729,-2.437044,-2.628464,20.75756
"NIC",1953,-86.27,12.15,9.004915,-1.703556,-2.599299,18.2074
"NLD",1953,4.89,52.37,10.17992,-1.754975,-3.001028,21.80927
"NOR",1953,10.72,59.93,10.12549,-1.101535,-2.964503,20.94818
"NZL",1953,175.14,-41.21,10.28395,-1.831654,-2.604506,20.11502
"PAK",1953,73.06,33.72,7.560697,-2.561073,-2.797023,20.53184
"PAN",1953,-79.4,8.95,8.673749,-1.738162,-2.698701,19.39184
"PER",1953,-76.82,-12.07,9.034138,-.6865265,-2.655048,20.53256
"PHL",1953,121.17,14.55,7.984855,-1.69536,-2.664771,21.16077
"PRT",1953,-9.13,38.73,9.00426,-1.719572,-2.995773,20.02404
"PRY",1953,-57.67,-25.22,8.294079,-2.078986,-2.670969,18.31096
"SLV",1953,-89.2,13.7,9.164868,-2.268912,-2.659458,19.11172
"SWE",1953,18.08,59.24,10.12999,-1.6412,-2.872981,21.23069
"THA",1953,100.55,13.75,7.339639,-1.790679,-2.583095,20.5748
